======================================================================
THE KERNEL — BONE v2 print run
N=320, column=4x4x18, seed=20260806, control=packed, dt=0.0005
----------------------------------------------------------------------
STATEMENT: A cold-ordered cushion-spaced column between two pinned
  anchor plates can be preloaded to 1.5x its end-weight, remain
  seated and intact, spring back elastically after half-release, and
  outperform a packed-bed control under overload.
PREDICTION: End gaps stay < R_C, zero escapees, force/length return
  within 10% after half-release, ordered deflection/load <= 1/2 of
  the packed-bed control under overload.
FALSIFIERS:
  (a) SEATING   — any end gap > r_c during preload hold
  (b) ESCAPE    — any column point with NN > r_c under preload
  (c) SPRING-BACK — force/length after release differ >10% from loading
  (d) ORDERED BEATS RANDOM — ordered deflection/load not 2x better
======================================================================

Derived end-weight = 1645.231
Derived F_pre      = 2467.847


[bone] N=320 column=288 plates=32
[bone] v_plate=0.05000 lu/tick, dt=0.0005
[bone] F_pre=2467.847


[bone] entering final hold

[bone] tick= 46198 phase=final_hold   | closure=0.46203 | force=306.726 | length=0.25216 | gap_L=0.0000 | gap_R=0.0000 | escape=0 | deflect=0.1286 | clusters=   1 | bound=1.000
[bone] tick= 46500 phase=final_hold   | closure=0.46203 | force=323.203 | length=0.24944 | gap_L=0.0000 | gap_R=0.0000 | escape=0 | deflect=0.1263 | clusters=   1 | bound=1.000
[bone] tick= 47000 phase=final_hold   | closure=0.46203 | force=322.545 | length=0.24991 | gap_L=0.0000 | gap_R=0.0000 | escape=0 | deflect=0.1297 | clusters=   1 | bound=1.000
[bone] tick= 47500 phase=final_hold   | closure=0.46203 | force=314.052 | length=0.25095 | gap_L=0.0000 | gap_R=0.0000 | escape=0 | deflect=0.1301 | clusters=   1 | bound=1.000
[bone] tick= 48000 phase=final_hold   | closure=0.46203 | force=328.794 | length=0.25120 | gap_L=0.0000 | gap_R=0.0000 | escape=0 | deflect=0.1273 | clusters=   1 | bound=1.000
[bone] tick= 48500 phase=final_hold   | closure=0.46203 | force=313.699 | length=0.25025 | gap_L=0.0000 | gap_R=0.0000 | escape=0 | deflect=0.1288 | clusters=   1 | bound=1.000
[bone] tick= 49000 phase=final_hold   | closure=0.46203 | force=320.003 | length=0.25295 | gap_L=0.0000 | gap_R=0.0000 | escape=0 | deflect=0.1279 | clusters=   1 | bound=1.000
[bone] tick= 49500 phase=final_hold   | closure=0.46203 | force=318.243 | length=0.25370 | gap_L=0.0000 | gap_R=0.0000 | escape=0 | deflect=0.1274 | clusters=   1 | bound=1.000
[bone] tick= 50000 phase=final_hold   | closure=0.46203 | force=328.933 | length=0.25328 | gap_L=0.0000 | gap_R=0.0000 | escape=0 | deflect=0.1281 | clusters=   1 | bound=1.000
[bone] tick= 50500 phase=final_hold   | closure=0.46203 | force=321.042 | length=0.25322 | gap_L=0.0000 | gap_R=0.0000 | escape=0 | deflect=0.1280 | clusters=   1 | bound=1.000
[bone] tick= 51000 phase=final_hold   | closure=0.46203 | force=322.402 | length=0.25711 | gap_L=0.0000 | gap_R=0.0000 | escape=0 | deflect=0.1283 | clusters=   1 | bound=1.000
[bone] tick= 51500 phase=final_hold   | closure=0.46203 | force=321.820 | length=0.25635 | gap_L=0.0000 | gap_R=0.0000 | escape=0 | deflect=0.1271 | clusters=   1 | bound=1.000
[bone] tick= 52000 phase=final_hold   | closure=0.46203 | force=320.503 | length=0.25671 | gap_L=0.0000 | gap_R=0.0000 | escape=0 | deflect=0.1282 | clusters=   1 | bound=1.000
[bone] tick= 52500 phase=final_hold   | closure=0.46203 | force=313.067 | length=0.25638 | gap_L=0.0000 | gap_R=0.0000 | escape=0 | deflect=0.1291 | clusters=   1 | bound=1.000
[bone] tick= 53000 phase=final_hold   | closure=0.46203 | force=318.478 | length=0.25641 | gap_L=0.0000 | gap_R=0.0000 | escape=0 | deflect=0.1291 | clusters=   1 | bound=1.000
[bone] tick= 53500 phase=final_hold   | closure=0.46203 | force=319.831 | length=0.25615 | gap_L=0.0000 | gap_R=0.0000 | escape=0 | deflect=0.1289 | clusters=   1 | bound=1.000
[bone] tick= 54000 phase=final_hold   | closure=0.46203 | force=319.171 | length=0.25664 | gap_L=0.0000 | gap_R=0.0000 | escape=0 | deflect=0.1281 | clusters=   1 | bound=1.000
[bone] tick= 54500 phase=final_hold   | closure=0.46203 | force=319.297 | length=0.25637 | gap_L=0.0000 | gap_R=0.0000 | escape=0 | deflect=0.1280 | clusters=   1 | bound=1.000
[bone] tick= 55000 phase=final_hold   | closure=0.46203 | force=330.285 | length=0.25652 | gap_L=0.0000 | gap_R=0.0000 | escape=0 | deflect=0.1283 | clusters=   1 | bound=1.000
[bone] tick= 55500 phase=final_hold   | closure=0.46203 | force=324.248 | length=0.25636 | gap_L=0.0000 | gap_R=0.0000 | escape=0 | deflect=0.1297 | clusters=   1 | bound=1.000
[bone] tick= 56000 phase=final_hold   | closure=0.46203 | force=322.259 | length=0.25648 | gap_L=0.0000 | gap_R=0.0000 | escape=0 | deflect=0.1293 | clusters=   1 | bound=1.000
[bone] tick= 56500 phase=final_hold   | closure=0.46203 | force=321.138 | length=0.25625 | gap_L=0.0000 | gap_R=0.0000 | escape=0 | deflect=0.1280 | clusters=   1 | bound=1.000
[bone] tick= 57000 phase=final_hold   | closure=0.46203 | force=317.705 | length=0.25635 | gap_L=0.0000 | gap_R=0.0000 | escape=0 | deflect=0.1277 | clusters=   1 | bound=1.000
