bmi,eye_frac_of_stature,foot_breadth_m,foot_length_m,hand_breadth_m,hand_circumference_m,hand_length_m,head_height_m,leg_frac_of_stature,mass_kg,stature_m,trochanterion_m,waist_frac_of_stature,waist_height_m
21.61575922940623,0.9290523045054376,0.107,0.28400000000000003,0.08600000000000001,0.20500000000000002,0.20400000000000001,0.137,0.541170378042465,80.60000000000001,1.931,1.045,0.6198860693940963,1.197
30.18258589773352,0.9228619340413639,0.108,0.275,0.091,0.22,0.192,0.138,0.5377305757406372,96.60000000000001,1.7890000000000001,0.962,0.6008943543879263,1.075
33.21484990907473,0.9268829026937878,0.108,0.281,0.092,0.222,0.195,0.133,0.5184167124793843,109.9,1.819,0.9430000000000001,0.5959318306761957,1.084
24.27945750055739,0.9242424242424242,0.098,0.262,0.088,0.213,0.188,0.135,0.5274971941638609,77.10000000000001,1.782,0.9400000000000001,0.6021324354657688,1.073
32.10840825013902,0.9233004067402673,0.105,0.259,0.091,0.219,0.183,0.132,0.5153980244044161,95.10000000000001,1.721,0.887,0.6089482858803021,1.048
30.64608974534689,0.930890052356021,0.107,0.298,0.1,0.233,0.21,0.132,0.5403141361256545,111.80000000000001,1.9100000000000001,1.032,0.6209424083769634,1.186
27.501093898260088,0.9273835920177383,0.101,0.276,0.09,0.214,0.199,0.131,0.5299334811529933,89.5,1.804,0.9560000000000001,0.6014412416851441,1.085
33.38031770504647,0.9186307519640853,0.10300000000000001,0.27,0.08600000000000001,0.212,0.201,0.145,0.5392817059483727,106.0,1.782,0.961,0.590347923681257,1.052
30.11658061853946,0.9251547552054024,0.099,0.272,0.088,0.21,0.177,0.133,0.5385481148002251,95.10000000000001,1.7770000000000001,0.9570000000000001,0.6088913899831176,1.082
26.007989971953936,0.9183183183183183,0.097,0.26,0.083,0.201,0.188,0.136,0.5201201201201201,72.10000000000001,1.665,0.866,0.5759759759759759,0.9590000000000001
26.824092095229222,0.9262340543538546,0.106,0.263,0.092,0.218,0.185,0.133,0.5307820299500832,87.2,1.803,0.9570000000000001,0.6062118691070438,1.093
27.700352428921548,0.9265566790846195,0.115,0.3,0.1,0.233,0.218,0.138,0.5428419372006387,97.80000000000001,1.879,1.02,0.6285258116019159,1.181
32.43111135824757,0.9221004039238315,0.089,0.249,0.081,0.193,0.183,0.135,0.5279861511829198,97.4,1.733,0.915,0.5903058280438546,1.0230000000000001
28.45072723088003,0.9269754768392371,0.10300000000000001,0.278,0.095,0.223,0.2,0.134,0.5362397820163488,95.80000000000001,1.835,0.984,0.602724795640327,1.106
34.97065330038265,0.9235491071428571,0.106,0.277,0.09,0.212,0.196,0.137,0.5279017857142857,112.30000000000001,1.792,0.9460000000000001,0.6015625,1.078
